,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
2460,F31876,2020-05-21 00:00:00,2020-06-25,2112.0
2471,F31887,2020-05-26 00:00:00,2020-06-27,5650.2
2482,F31898,2020-05-28 00:00:00,2020-06-28,6400.0
2496,F31912,2020-05-25 00:00:00,2020-06-17,9594.5
2508,F31924,2020-05-26 00:00:00,2020-06-03,6578.6
2517,F31933,2020-05-26 00:00:00,2020-06-20,1922.25
2518,F31934,2020-05-26 00:00:00,2020-06-20,1922.25
2519,F31935,2020-05-29 00:00:00,2020-07-05,10200.0
2521,F31937,2020-06-05 00:00:00,2020-06-05,1618.5600000000002
2571,F31987,2020-06-05 00:00:00,2020-06-15,2427.8700000000003
2638,F32054,2020-06-24 00:00:00,2020-07-09,3050.0000000000005
2669,F32085,2019-11-08 00:00:00,2020-06-26,9429.0
2671,F32087,2020-06-26 00:00:00,2020-06-26,1162.5
2697,F32113,2020-06-30 00:00:00,2020-06-30,1724.1379000000002
2733,F32149,2020-06-15 00:00:00,2020-08-01,605.35
2771,F32187,2020-03-30 00:00:00,2020-08-21,5088.55
2778,F32194,2020-06-16 00:00:00,2020-07-08,2216.0
2824,F32240,2020-07-13 00:00:00,2020-08-13,5631.18
2837,F32253,2020-07-15 00:00:00,2020-07-15,1720.0000000000002
2871,F32287,2020-07-21 00:00:00,2020-08-04,4176.0
2873,F32289,2020-07-20 00:00:00,2020-07-20,2386.5600000000004
2934,F32350,2020-07-27 00:00:00,2020-07-27,73275.86200000001
2947,F32363,2020-07-15 00:00:00,2020-08-12,1552.0
2988,F32404,2020-07-14 00:00:00,2020-08-14,6879.25
2990,F32406,2020-07-30 00:00:00,2020-08-14,10939.6364
3025,F32441,2020-07-30 00:00:00,2020-08-05,5493.400000000001
3046,F32462,2020-08-07 00:00:00,2020-09-04,17372.82
3054,F32470,2020-08-07 00:00:00,2020-08-22,1129.5
3058,F32474,2020-08-07 00:00:00,2020-08-22,2271.7200000000003
